rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country
1,cristiano,92,3300.0,0.9999999999999999,1.0,0.0139,3018875.0,0.9999999999999999,Spain
2,kyliejenner,91,6900.0,0.9999999999999999,1.0,0.016200000000000003,3018875.0,0.9999999999999999,United States
3,leomessi,90,890.0,0.9999999999999999,1.0,0.0124,3018875.0,0.7262495560877443,Unknown
4,selenagomez,93,1800.0,0.9999999999999999,1.0,0.0097,3018875.0,0.9999999999999999,United States
5,therock,91,6800.0,0.9999999999999999,0.41435765417880455,0.002,665300.0,0.9999999999999999,United States
6,kimkardashian,91,5600.0,0.9999999999999999,0.7756701217171375,0.0088,2900000.0,0.9999999999999999,United States
7,arianagrande,92,5000.0,0.9999999999999999,0.8208341801594291,0.012,3018875.0,0.9999999999999999,United States
8,beyonce,92,2000.0,0.9999999999999999,0.7982521509382833,0.0076,2000000.0,0.8962262146501667,United States
9,khloekardashian,89,4100.0,0.9999999999999999,0.5272678002845336,0.0034999999999999996,926900.0,0.9999999999999999,United States
10,justinbieber,91,7400.0,0.9999999999999999,0.41435765417880455,0.0059,1500000.0,0.9999999999999999,Canada
11,kendalljenner,90,660.0,0.9999999999999999,1.0,0.0204,3018875.0,0.4470021884494789,United States
12,natgeo,91,10000.0,0.9999999999999999,0.053541991283336726,0.0007000000000000001,159300.0,0.3620138591682677,United States
13,nike,90,950.0,0.9999999999999999,0.05959397511460379,0.0008,181800.0,0.03585293376677381,United States
14,taylorswift,91,530.0,0.9999999999999999,0.5272678002845336,0.0101,2300000.0,0.1556136309138977,United States
15,jlo,89,3200.0,0.9999999999999999,0.3691935957365129,0.0062,1400000.0,0.6412612268065332,United States
16,virat.kohli,87,1400.0,0.9999999999999999,0.7756701217171375,0.0096,2000000.0,0.5926964672172697,Unknown
17,nickiminaj,90,6400.0,0.9999999999999999,0.45952171262109615,0.0053,1000000.0,0.9999999999999999,United States
18,kourtneykardash,89,4400.0,0.9999999999999999,0.3917756249576587,0.0067,1300000.0,0.9326497843421144,United States
19,mileycyrus,89,1200.0,0.9999999999999999,0.27886547885192964,0.0051,913600.0,0.19203720060584537,Unknown
20,neymarjr,90,5300.0,0.9999999999999999,0.5950138879479709,0.0109,1900000.0,0.9999999999999999,Brazil
21,katyperry,92,2000.0,0.9999999999999999,0.14676060790822662,0.0016,265100.0,0.17989601070852948,Unknown
22,kevinhart4real,88,8200.0,0.9999999999999999,0.10317729151141522,0.0008,115200.0,0.5198493278333743,United States
23,zendaya,87,3500.0,0.9999999999999999,1.0,0.0317,3018875.0,0.9999999999999999,United States
24,iamcardib,75,1600.0,0.9999999999999999,0.6853420048325543,0.011000000000000001,1500000.0,0.6048376571145855,United States
25,ddlovato,88,80.0,0.9999999999999999,0.233701420409638,0.0027,363400.0,0.008863068625040597,United States
26,badgalriri,88,4800.0,0.9999999999999999,0.8208341801594291,0.0002,0.0,0.9999999999999999,United States
27,kingjames,86,2300.0,0.9999999999999999,0.45952171262109615,0.0092,1200000.0,0.5926964672172697,Unknown
28,theellenshow,87,10000.0,0.9999999999999999,0.08025653185195221,0.0007000000000000001,81700.0,0.5077081379360584,United States
29,realmadrid,90,6900.0,0.9999999999999999,0.21026127407808864,0.0048,588300.0,0.8233790752662714,Spain
30,champagnepapi,85,5200.0,0.9999999999999999,0.3691935957365129,0.011000000000000001,1300000.0,0.9999999999999999,Netherlands
31,chrisbrownofficial,86,7300.0,0.9999999999999999,0.08989905832938147,0.0022,255900.0,0.41057861875753127,United States
32,fcbarcelona,90,10000.0,0.9893014474512273,0.25628344963078387,0.0064,706300.0,0.9999999999999999,Unknown
33,billieeilish,73,690.0,0.9112649465072372,1.0,0.050199999999999995,3018875.0,0.7141083661904285,Unknown
34,dualipa,74,1300.0,0.6683448709880427,0.45952171262109615,0.0126,1100000.0,0.3134490995790042,United Kingdom
35,gal_gadot,85,1700.0,0.6645689112649465,0.30144750807307547,0.0069,586500.0,0.27702552988705653,United States
36,vindiesel,88,1800.0,0.6230333543108874,0.30144750807307547,0.006,482300.0,0.3013079096816883,United States
37,nasa,88,3600.0,0.6104468219005664,0.25628344963078387,0.015300000000000001,1200000.0,0.5077081379360584,United States
38,priyankachopra,85,3600.0,0.6079295154185022,0.34661156651536706,0.01,802900.0,0.6776847964984808,United States
39,lalalalisa_m,70,870.0,0.6054122089364381,1.0,0.09,3018875.0,0.6169788470119014,Unknown
40,Shakira,88,2000.0,0.5449968533668974,0.20549646591242687,0.0040999999999999995,304700.0,0.22846077029779302,Unknown
41,snoopdogg,86,10000.0,0.5349276274386406,0.031298692500508096,0.0017000000000000001,125800.0,0.24060196019510893,Unknown
42,gigihadid,85,3300.0,0.5349276274386406,0.5498498295056793,0.0256,1900000.0,0.9933557338286937,United States
43,davidbeckham,86,1500.0,0.5298930144745123,0.25628344963078387,0.0046,340900.0,0.22846077029779302,United States
44,shraddhakapoor,81,1900.0,0.5173064820641913,0.34661156651536706,0.011699999999999999,859900.0,0.3620138591682677,Unknown
45,victoriassecret,88,2900.0,0.5084959093769666,0.018494681932118423,0.0004,29800.0,0.04919610146392397,United States
46,k.mbappe,86,1200.0,0.5022026431718062,0.5498498295056793,0.0216,1600000.0,0.33773147937363596,Unknown
47,nehakakkar,84,2300.0,0.47325361862806803,0.3240295372942213,0.0054,370100.0,0.42271980865484715,India
48,nba,87,11141.25,0.46947765890497173,0.06903326332904275,0.0028000000000000004,196900.0,0.5805552773199537,United States
49,shawnmendes,83,2500.0,0.46696035242290745,0.7756701217171375,0.0287,2000000.0,0.9999999999999999,Canada
50,jennierubyjane,76,860.0,0.4543738200125865,1.0,0.0836,3018875.0,0.5319905177306902,Unknown
51,narendramodi,85,540.0,0.4543738200125865,0.6401779463902626,0.0301,2000000.0,0.19203720060584537,India
52,aliaabhatt,82,1800.0,0.45185651353052236,0.3917756249576587,0.031400000000000004,2100000.0,0.3984374288602154,India
53,deepikapadukone,83,260.0,0.44808055380742606,0.34661156651536706,0.0223,1500000.0,0.048649747918544754,India
54,tomholland2013,77,1200.0,0.43926998112020144,1.0,0.10830000000000001,3018875.0,0.7990966954716396,Unknown
55,ronaldinho,78,2900.0,0.43926998112020144,0.18241763204841588,0.0049,325700.0,0.3134490995790042,Brazil
56,emmawatson,87,340.0,0.434235368156073,0.41435765417880455,0.0001,0.0,0.07536036569263971,United States
57,bts.bighitofficial,78,1200.0,0.4292007551919448,0.9111622970440122,0.054000000000000006,3018875.0,0.5926964672172697,Uruguay
58,katrinakaif,85,1000.0,0.42164883574575207,0.3691935957365129,0.0225,1500000.0,0.20417839050316125,India
